repo_name,local_path,exists,is_git_repo,origin,upstream,branch,head_sha,dirty_state,stash_count,ahead_count,behind_count,last_commit_date,risk_level,recommended_sync_strategy,tests_required,handoff_status
contract-kit-v17,G:\Github\contract-kit-v17,True,True,https://github.com/Ghenghis/contract-kit-v17.git,,integration/main,ca5d8f0d94ce328b227ae2d3b59f39ae518670fb,dirty-unstaged,0,0,0,2026-04-23T00:42:02-07:00,LOW,"SAFE_MODE: commit staged docs changes to integration/main; push to origin.",V79+V80+V81 + docs_bundle_verifier,READY_FOR_HANDOFF
kilocode-Azure2,G:\Github\kilocode-Azure2,True,True,https://github.com/Ghenghis/kilocode.git,https://github.com/Kilo-Org/kilocode.git,feat/azure-voice-studio,67bd133d6e87683414b8b7e6746aa772aecaa82d,dirty-untracked,1,491,0,2026-04-24T01:07:41-07:00,CRITICAL,"REVIEW_MODE: 491 commits ahead of origin feat/azure-voice-studio; 3304 ahead/31 behind origin/main; 385 behind upstream/main (Kilo-Org). Create sync branch from HEAD. Cherry-pick upstream via protected-file allowlist only. Never force push.",V06+V07+V09+V15+V79+V80+V81,HANDOFF_WITH_CRITICAL_NOTE
VPS-git-dump,C:\Users\Admin\Downloads\VPS,True,True,,,HEAD-detached,,empty-no-remotes,0,,,,,"MEDIUM","QUARANTINE: git directory with no remotes and detached HEAD. Treat as FILESET. Do not trust as source of truth; archive or delete after extraction.",none,QUARANTINE
hermes-agent-2026.4.13,G:\Github\hermes-agent-2026.4.13,True,False,,,,,,,,,,MEDIUM,"FILESET only: appears to contain a nested duplicate of itself. Flatten, extract inner hermes-agent-2026.4.13 as the canonical copy, and create fresh clone from Ghenghis/hermes-agent for comparison.",manual,PENDING_EXTRACTION
hermes-agent-2026.4.13-nested,G:\Github\hermes-agent-2026.4.13\hermes-agent-2026.4.13,True,False,,,,,,,,,,LOW,"FILESET only: contains the actual hermes source (30 dirs, 167.8 MB). Use as basis for fresh clone comparison against Ghenghis/hermes-agent.",manual,CANDIDATE_SOURCE
hermes-agent,G:\Github\hermes-agent,True,False,,,,,,,,,,MEDIUM,"FILESET only: smaller subset (26 dirs, 30.1 MB). Likely outdated partial. Compare against nested copy; keep larger one as truth.",manual,CANDIDATE_STALE
zeroclaw,G:\Github\zeroclaw,False,False,,,,,,,,,,HIGH,"MISSING: must be cloned fresh from Ghenghis/zeroclaw. Also create zeroclaw-current as working copy.",V62+V63,CLONE_REQUIRED
zeroclaw-current,G:\Github\zeroclaw-current,False,False,,,,,,,,,,HIGH,MISSING: clone from Ghenghis/zeroclaw after primary zeroclaw exists.,V62+V63,CLONE_REQUIRED
open-webui,G:\Github\open-webui,False,False,,,,,,,,,,HIGH,MISSING: clone from Ghenghis/open-webui.,pipeline-smoke,CLONE_REQUIRED
open-webui-current,G:\Github\open-webui-current,False,False,,,,,,,,,,HIGH,MISSING: clone from Ghenghis/open-webui as working copy.,pipeline-smoke,CLONE_REQUIRED
api-secrets,C:\Users\Admin\Downloads\api,True,False,,,,,,,,,,CRITICAL,"FILESET only. CONTAINS SECRETS (github.txt, hf-token.txt, minimax.txt, siliconflow.txt, .env*). NEVER COMMIT. Move to keyring/SecretStorage; delete from filesystem after import.",secret-scan,QUARANTINE_SECRETS
DaveAI_Ecosystem_Truth_Skills_Repack-v2,G:\Github\contract-kit-v17\DaveAI_Ecosystem_Truth_Skills_Repack-v2,True,False,,,,,,,,,,LOW,"CURRENT_REPACK: 535 files, 43.3 MB. Compare against v1 sibling copy and G:\Github\DaveAI_Ecosystem_Truth_Skills_Repack. Merge only non-dupe items into contract-kit-v17 tree after dedupe.",repack-dedupe,MERGE_AFTER_DEDUPE
DaveAI_Ecosystem_Truth_Skills_Repack,G:\Github\contract-kit-v17\DaveAI_Ecosystem_Truth_Skills_Repack,False,False,,,,,,,,,,LOW,"MISSING here; v1 copy exists at G:\Github\DaveAI_Ecosystem_Truth_Skills_Repack instead.",,ARCHIVED
DaveAI_Ecosystem_Truth_Skills_Repack-old,G:\Github\DaveAI_Ecosystem_Truth_Skills_Repack,True,False,,,,,,,,,,LOW,"STALE_REPACK: 536 files, 53.3 MB. Older sibling to v2 (which is 43.3 MB). Diff against v2; archive.",repack-diff,STALE_ARCHIVE
